longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.368563,42.411178,1.79,2013-07-24 16:55:41+00,1,34,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368561,42.411184,1.29,2013-07-24 16:55:40+00,1,16,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368563,42.411181,0.99,2013-07-24 16:55:39+00,1,48,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.5
-85.368569,42.411172,1.99,2013-07-24 16:55:38+00,1,64,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.5
-85.368586,42.411164,2.49,2013-07-24 16:55:37+00,1,64,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.25
-85.368608,42.411161,2.99,2013-07-24 16:55:36+00,1,42,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368619,42.411159,2.68,2013-07-24 16:55:35+00,1,11,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368619,42.411159,0.08,2013-07-24 16:55:34+00,1,37,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368608,42.411159,0.08,2013-07-24 16:55:33+00,1,58,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.58
-85.368591,42.411159,0.08,2013-07-24 16:55:32+00,1,71,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.92
-85.368569,42.411156,0.08,2013-07-24 16:55:31+00,1,71,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.5
-85.368549,42.411145,1.78,2013-07-24 16:55:30+00,1,70,180,11.52,0,9,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),948.5
